enrollment_id,student_id,class_id,enrollment_date,status
1,811,124,2025-07-11,Completed
2,811,124,2025-07-11,Active
3,811,124,2025-07-11,Active
4,811,124,2025-07-11,Completed
5,811,124,2025-07-11,Dropped
6,811,124,2025-07-11,Dropped
7,811,124,2025-07-11,Active
8,811,124,2025-07-11,Active
9,811,124,2025-07-11,Dropped
10,811,124,2025-07-11,Dropped
11,811,124,2025-07-11,Dropped
12,811,124,2025-07-11,Dropped
13,811,124,2025-07-11,Completed
14,811,124,2025-07-11,Dropped
15,811,124,2025-07-11,Active
16,811,124,2025-07-11,Active
17,811,124,2025-07-11,Dropped
18,811,124,2025-07-11,Completed
19,811,124,2025-07-11,Active
20,811,124,2025-07-11,Completed
21,811,124,2025-07-11,Dropped
22,811,124,2025-07-11,Dropped
23,811,124,2025-07-11,Completed
24,811,124,2025-07-11,Dropped
25,811,124,2025-07-11,Dropped
26,811,124,2025-07-11,Dropped
27,811,124,2025-07-11,Dropped
28,811,124,2025-07-11,Active
29,811,124,2025-07-11,Dropped
30,811,124,2025-07-11,Dropped
31,811,124,2025-07-11,Completed
32,811,124,2025-07-11,Dropped
33,811,124,2025-07-11,Dropped
34,811,124,2025-07-11,Active
35,811,124,2025-07-11,Dropped
36,811,124,2025-07-11,Active
37,811,124,2025-07-11,Completed
38,811,124,2025-07-11,Active
39,811,124,2025-07-11,Completed
40,811,124,2025-07-11,Dropped
41,811,124,2025-07-11,Dropped
42,811,124,2025-07-11,Completed
43,811,124,2025-07-11,Active
44,811,124,2025-07-11,Active
45,811,124,2025-07-11,Dropped
46,811,124,2025-07-11,Active
47,811,124,2025-07-11,Completed
48,811,124,2025-07-11,Dropped
49,811,124,2025-07-11,Completed
50,811,124,2025-07-11,Dropped
51,811,124,2025-07-11,Completed
52,811,124,2025-07-11,Completed
53,811,124,2025-07-11,Dropped
54,811,124,2025-07-11,Active
55,811,124,2025-07-11,Completed
56,811,124,2025-07-11,Active
57,811,124,2025-07-11,Dropped
58,811,124,2025-07-11,Completed
59,811,124,2025-07-11,Dropped
60,811,124,2025-07-11,Active
61,811,124,2025-07-11,Dropped
62,811,124,2025-07-11,Active
63,811,124,2025-07-11,Completed
64,811,124,2025-07-11,Completed
65,811,124,2025-07-11,Completed
66,811,124,2025-07-11,Dropped
67,811,124,2025-07-11,Dropped
68,811,124,2025-07-11,Completed
69,811,124,2025-07-11,Completed
70,811,124,2025-07-11,Active
71,811,124,2025-07-11,Dropped
72,811,124,2025-07-11,Completed
73,811,124,2025-07-11,Completed
74,811,124,2025-07-11,Completed
75,811,124,2025-07-11,Active
76,811,124,2025-07-11,Dropped
77,811,124,2025-07-11,Active
78,811,124,2025-07-11,Dropped
79,811,124,2025-07-11,Completed
80,811,124,2025-07-11,Active
81,811,124,2025-07-11,Active
82,811,124,2025-07-11,Active
83,811,124,2025-07-11,Active
84,811,124,2025-07-11,Active
85,811,124,2025-07-11,Active
86,811,124,2025-07-11,Dropped
87,811,124,2025-07-11,Completed
88,811,124,2025-07-11,Completed
89,811,124,2025-07-11,Active
90,811,124,2025-07-11,Active
91,811,124,2025-07-11,Completed
92,811,124,2025-07-11,Dropped
93,811,124,2025-07-11,Completed
94,811,124,2025-07-11,Dropped
95,811,124,2025-07-11,Completed
96,811,124,2025-07-11,Active
97,811,124,2025-07-11,Dropped
98,811,124,2025-07-11,Active
99,811,124,2025-07-11,Active
100,811,124,2025-07-11,Dropped
101,811,124,2025-07-11,Completed
102,811,124,2025-07-11,Active
103,811,124,2025-07-11,Dropped
104,811,124,2025-07-11,Active
105,811,124,2025-07-11,Completed
106,811,124,2025-07-11,Dropped
107,811,124,2025-07-11,Dropped
108,811,124,2025-07-11,Dropped
109,811,124,2025-07-11,Active
110,811,124,2025-07-11,Active
111,811,124,2025-07-11,Active
112,811,124,2025-07-11,Dropped
113,811,124,2025-07-11,Dropped
114,811,124,2025-07-11,Completed
115,811,124,2025-07-11,Active
116,811,124,2025-07-11,Dropped
117,811,124,2025-07-11,Active
118,811,124,2025-07-11,Completed
119,811,124,2025-07-11,Dropped
120,811,124,2025-07-11,Active
121,811,124,2025-07-11,Active
122,811,124,2025-07-11,Dropped
123,811,124,2025-07-11,Dropped
124,811,124,2025-07-11,Active
125,811,124,2025-07-11,Active
126,811,124,2025-07-11,Dropped
127,811,124,2025-07-11,Active
128,811,124,2025-07-11,Active
129,811,124,2025-07-11,Completed
130,811,124,2025-07-11,Active
131,811,124,2025-07-11,Dropped
132,811,124,2025-07-11,Dropped
133,811,124,2025-07-11,Active
134,811,124,2025-07-11,Dropped
135,811,124,2025-07-11,Dropped
136,811,124,2025-07-11,Completed
137,811,124,2025-07-11,Dropped
138,811,124,2025-07-11,Active
139,811,124,2025-07-11,Dropped
140,811,124,2025-07-11,Completed
141,811,124,2025-07-11,Completed
142,811,124,2025-07-11,Active
143,811,124,2025-07-11,Completed
144,811,124,2025-07-11,Completed
145,811,124,2025-07-11,Active
146,811,124,2025-07-11,Completed
147,811,124,2025-07-11,Completed
148,811,124,2025-07-11,Dropped
149,811,124,2025-07-11,Dropped
150,811,124,2025-07-11,Completed
151,811,124,2025-07-11,Completed
152,811,124,2025-07-11,Completed
153,811,124,2025-07-11,Dropped
154,811,124,2025-07-11,Active
155,811,124,2025-07-11,Active
156,811,124,2025-07-11,Dropped
157,811,124,2025-07-11,Active
158,811,124,2025-07-11,Active
159,811,124,2025-07-11,Completed
160,811,124,2025-07-11,Completed
161,811,124,2025-07-11,Completed
162,811,124,2025-07-11,Active
163,811,124,2025-07-11,Dropped
164,811,124,2025-07-11,Active
165,811,124,2025-07-11,Active
166,811,124,2025-07-11,Dropped
167,811,124,2025-07-11,Completed
168,811,124,2025-07-11,Dropped
169,811,124,2025-07-11,Active
170,811,124,2025-07-11,Active
171,811,124,2025-07-11,Dropped
172,811,124,2025-07-11,Completed
173,811,124,2025-07-11,Active
174,811,124,2025-07-11,Active
175,811,124,2025-07-11,Active
176,811,124,2025-07-11,Active
177,811,124,2025-07-11,Active
178,811,124,2025-07-11,Active
179,811,124,2025-07-11,Completed
180,811,124,2025-07-11,Dropped
181,811,124,2025-07-11,Active
182,811,124,2025-07-11,Completed
183,811,124,2025-07-11,Active
184,811,124,2025-07-11,Completed
185,811,124,2025-07-11,Dropped
186,811,124,2025-07-11,Completed
187,811,124,2025-07-11,Dropped
188,811,124,2025-07-11,Dropped
189,811,124,2025-07-11,Active
190,811,124,2025-07-11,Active
191,811,124,2025-07-11,Completed
192,811,124,2025-07-11,Dropped
193,811,124,2025-07-11,Completed
194,811,124,2025-07-11,Completed
195,811,124,2025-07-11,Dropped
196,811,124,2025-07-11,Dropped
197,811,124,2025-07-11,Dropped
198,811,124,2025-07-11,Completed
199,811,124,2025-07-11,Dropped
200,811,124,2025-07-11,Dropped
201,811,124,2025-07-11,Active
202,811,124,2025-07-11,Active
203,811,124,2025-07-11,Completed
204,811,124,2025-07-11,Completed
205,811,124,2025-07-11,Dropped
206,811,124,2025-07-11,Completed
207,811,124,2025-07-11,Active
208,811,124,2025-07-11,Dropped
209,811,124,2025-07-11,Active
210,811,124,2025-07-11,Active
211,811,124,2025-07-11,Active
212,811,124,2025-07-11,Dropped
213,811,124,2025-07-11,Dropped
214,811,124,2025-07-11,Completed
215,811,124,2025-07-11,Dropped
216,811,124,2025-07-11,Dropped
217,811,124,2025-07-11,Completed
218,811,124,2025-07-11,Completed
219,811,124,2025-07-11,Dropped
220,811,124,2025-07-11,Active
221,811,124,2025-07-11,Completed
222,811,124,2025-07-11,Completed
223,811,124,2025-07-11,Dropped
224,811,124,2025-07-11,Dropped
225,811,124,2025-07-11,Dropped
226,811,124,2025-07-11,Active
227,811,124,2025-07-11,Dropped
228,811,124,2025-07-11,Active
229,811,124,2025-07-11,Completed
230,811,124,2025-07-11,Active
231,811,124,2025-07-11,Active
232,811,124,2025-07-11,Active
233,811,124,2025-07-11,Completed
234,811,124,2025-07-11,Dropped
235,811,124,2025-07-11,Completed
236,811,124,2025-07-11,Dropped
237,811,124,2025-07-11,Active
238,811,124,2025-07-11,Completed
239,811,124,2025-07-11,Dropped
240,811,124,2025-07-11,Completed
241,811,124,2025-07-11,Dropped
242,811,124,2025-07-11,Active
243,811,124,2025-07-11,Dropped
244,811,124,2025-07-11,Active
245,811,124,2025-07-11,Active
246,811,124,2025-07-11,Active
247,811,124,2025-07-11,Completed
248,811,124,2025-07-11,Dropped
249,811,124,2025-07-11,Dropped
250,811,124,2025-07-11,Dropped
251,811,124,2025-07-11,Dropped
252,811,124,2025-07-11,Dropped
253,811,124,2025-07-11,Active
254,811,124,2025-07-11,Active
255,811,124,2025-07-11,Dropped
256,811,124,2025-07-11,Completed
257,811,124,2025-07-11,Dropped
258,811,124,2025-07-11,Completed
259,811,124,2025-07-11,Active
260,811,124,2025-07-11,Active
261,811,124,2025-07-11,Dropped
262,811,124,2025-07-11,Dropped
263,811,124,2025-07-11,Completed
264,811,124,2025-07-11,Dropped
265,811,124,2025-07-11,Active
266,811,124,2025-07-11,Completed
267,811,124,2025-07-11,Completed
268,811,124,2025-07-11,Active
269,811,124,2025-07-11,Completed
270,811,124,2025-07-11,Active
271,811,124,2025-07-11,Dropped
272,811,124,2025-07-11,Active
273,811,124,2025-07-11,Active
274,811,124,2025-07-11,Dropped
275,811,124,2025-07-11,Active
276,811,124,2025-07-11,Completed
277,811,124,2025-07-11,Active
278,811,124,2025-07-11,Active
279,811,124,2025-07-11,Active
280,811,124,2025-07-11,Dropped
281,811,124,2025-07-11,Dropped
282,811,124,2025-07-11,Dropped
283,811,124,2025-07-11,Active
284,811,124,2025-07-11,Active
285,811,124,2025-07-11,Dropped
286,811,124,2025-07-11,Completed
287,811,124,2025-07-11,Completed
288,811,124,2025-07-11,Active
289,811,124,2025-07-11,Dropped
290,811,124,2025-07-11,Dropped
291,811,124,2025-07-11,Active
292,811,124,2025-07-11,Completed
293,811,124,2025-07-11,Active
294,811,124,2025-07-11,Completed
295,811,124,2025-07-11,Active
296,811,124,2025-07-11,Completed
297,811,124,2025-07-11,Dropped
298,811,124,2025-07-11,Dropped
299,811,124,2025-07-11,Dropped
300,811,124,2025-07-11,Dropped
301,811,124,2025-07-11,Dropped
302,811,124,2025-07-11,Completed
303,811,124,2025-07-11,Completed
304,811,124,2025-07-11,Completed
305,811,124,2025-07-11,Active
306,811,124,2025-07-11,Dropped
307,811,124,2025-07-11,Dropped
308,811,124,2025-07-11,Dropped
309,811,124,2025-07-11,Completed
310,811,124,2025-07-11,Active
311,811,124,2025-07-11,Completed
312,811,124,2025-07-11,Completed
313,811,124,2025-07-11,Completed
314,811,124,2025-07-11,Dropped
315,811,124,2025-07-11,Completed
316,811,124,2025-07-11,Completed
317,811,124,2025-07-11,Active
318,811,124,2025-07-11,Active
319,811,124,2025-07-11,Completed
320,811,124,2025-07-11,Active
321,811,124,2025-07-11,Completed
322,811,124,2025-07-11,Dropped
323,811,124,2025-07-11,Completed
324,811,124,2025-07-11,Dropped
325,811,124,2025-07-11,Dropped
326,811,124,2025-07-11,Dropped
327,811,124,2025-07-11,Completed
328,811,124,2025-07-11,Active
329,811,124,2025-07-11,Active
330,811,124,2025-07-11,Completed
331,811,124,2025-07-11,Dropped
332,811,124,2025-07-11,Dropped
333,811,124,2025-07-11,Active
334,811,124,2025-07-11,Dropped
335,811,124,2025-07-11,Active
336,811,124,2025-07-11,Active
337,811,124,2025-07-11,Completed
338,811,124,2025-07-11,Completed
339,811,124,2025-07-11,Active
340,811,124,2025-07-11,Active
341,811,124,2025-07-11,Active
342,811,124,2025-07-11,Completed
343,811,124,2025-07-11,Completed
344,811,124,2025-07-11,Active
345,811,124,2025-07-11,Active
346,811,124,2025-07-11,Dropped
347,811,124,2025-07-11,Completed
348,811,124,2025-07-11,Completed
349,811,124,2025-07-11,Dropped
350,811,124,2025-07-11,Active
351,811,124,2025-07-11,Dropped
352,811,124,2025-07-11,Active
353,811,124,2025-07-11,Active
354,811,124,2025-07-11,Completed
355,811,124,2025-07-11,Active
356,811,124,2025-07-11,Completed
357,811,124,2025-07-11,Active
358,811,124,2025-07-11,Active
359,811,124,2025-07-11,Active
360,811,124,2025-07-11,Completed
361,811,124,2025-07-11,Dropped
